tag_node,vehicle_type,fuel_type,garage_state,region,ownership,fsr_node,exp_node,lob_node
TAG-3626,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-504,LOB-5
TAG-3623,Md Pickup,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-3585,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-493,LOB-5
TAG-424,Md Suv,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-992,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-1314,Ld Pickup 4X4,Diesel,AK,AL,owned,NA,ORG-301,LOB-5
TAG-4287,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-493,LOB-5
TAG-1700,Ld Van 4X4 (Passenger),Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-39,Md Pickup,Gasoline,AK,AL,owned,NA,ORG-504,LOB-5
TAG-2619,Ld Minivan 4X4 (Passenger),Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-2104,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-524,LOB-5
TAG-2464,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-3326,Md Other,Ethanol / Unleaded Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-3441,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-2895,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-4058,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-2811,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-3766,Md Suv,Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-4100,Ld Minivan 4X2 (Passenger),Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-1968,Md Pickup,Gasoline,AK,AL,owned,NA,ORG-593,LOB-5
TAG-1009,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-210,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-399,LOB-5
TAG-2592,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-1089,Hd,Diesel,AK,AL,owned,NA,ORG-494,LOB-5
TAG-79,Ld Pickup 4X4,Unleaded Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-279,Md Pickup,Unleaded Gasoline,AK,AL,owned,NA,ORG-504,LOB-5
TAG-3194,Med & Heavy Cab And Chassis,Diesel,AK,AL,owned,NA,ORG-493,LOB-5
TAG-2533,Med & Heavy Cab And Chassis,Gasoline,AK,AL,owned,NA,ORG-524,LOB-5
TAG-1607,Hd,Gasoline,AK,AL,owned,NA,ORG-211,LOB-5
TAG-657,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-4048,Med & Heavy Cab And Chassis,Diesel,AK,AL,owned,NA,ORG-211,LOB-5
TAG-1977,Md Suv,Gasoline,AK,AL,owned,NA,ORG-493,LOB-5
TAG-70,Ld Suv 4X4,Gasoline,AK,AL,owned,NA,ORG-103,LOB-5
TAG-3452,Hd,Diesel,AK,AL,owned,NA,ORG-301,LOB-5
TAG-2834,Md Suv,Gasoline,AK,AL,owned,NA,ORG-504,LOB-5
TAG-13,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-2569,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-211,LOB-5
TAG-618,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-76,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-524,LOB-5
TAG-4398,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-1252,Md Pickup,Diesel,AK,AL,owned,NA,ORG-196,LOB-5
TAG-3360,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-593,LOB-5
TAG-1256,Md Pickup,Gasoline,AK,AL,owned,NA,ORG-493,LOB-5
TAG-242,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-196,LOB-5
TAG-2647,Ld Pickup 4X4,Diesel,AK,AL,owned,NA,ORG-301,LOB-5
TAG-4065,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-72,LOB-5
TAG-1929,Ld Pickup 4X4,Gasoline,AK,AL,owned,NA,ORG-494,LOB-5
TAG-2262,Ld Minivan 4X2 (Passenger),Gasoline,AK,AL,leased,FSR-63,ORG-528,LOB-5
TAG-4506,Ld Van 4X2 (Passenger),Gasoline,AK,AL,leased,FSR-63,ORG-222,LOB-5
TAG-4206,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-1077,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-899,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-3104,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-1640,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-133,LOB-2
TAG-3544,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-399,LOB-5
TAG-2903,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-103,LOB-5
TAG-4157,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-3124,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-1792,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-133,LOB-2
TAG-2324,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-133,LOB-2
TAG-4408,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-626,LOB-2
TAG-554,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-133,LOB-2
TAG-2976,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-301,LOB-5
TAG-2181,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-326,LOB-2
TAG-1782,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-326,LOB-2
TAG-3691,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-301,LOB-5
TAG-2643,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-399,LOB-5
TAG-2768,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-301,LOB-5
TAG-1091,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-69,LOB-5
TAG-972,Ld Pickup 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-593,LOB-5
TAG-2396,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-332,LOB-5
TAG-2944,Ld Suv 4X4,Gasoline Hybrid Electric,AK,AL,leased,FSR-63,ORG-207,LOB-5
TAG-3763,Ld Pickup 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-72,LOB-5
TAG-3176,Ld Pickup 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-72,LOB-5
TAG-718,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-205,LOB-7
TAG-186,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-465,LOB-5
TAG-812,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-207,LOB-5
TAG-2621,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-399,LOB-5
TAG-1338,Ld Suv 4X4,Gasoline,AK,AL,leased,FSR-63,ORG-344,LOB-5
TAG-4005,Ld Suv 4X4,Ethanol / Unleaded Gasoline,AK,AL,leased,FSR-63,ORG-103,LOB-5
